training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
32.368393,-30.841606,1095.3502,597.4573,0.5673718,-11.052321,0.3725872,1.0,141.6766,0.83951986,-4.7018237,0.04285237,1.0,0.07354145,-25.150476,-58.61924,1.2334421,629.67834,1.599235,-11.311295,0.4243818,1.0,134.6787,0.7863414,-4.72227,0.05103096,1.0,0.0735787,-27.28545,-63.42024,1.9827726,0.04007701468467712,2376.98180103302,55000
65.55088,-83.013245,2428.613,644.52374,1.3417585,-11.173113,0.3967455,1.0,134.74498,0.6537898,-4.737695,0.057200976,1.0,0.16554928,-28.424335,-69.77411,3.5786521,638.025,1.9018854,-11.121661,0.38645512,1.0,134.00893,0.69681543,-4.7331963,0.055401362,1.0,0.10678175,-29.249767,-68.26752,1.7572603,0.040019668245315554,2577.0801548957825,60000
78.40037,-57.191696,2104.26,612.3509,0.71446866,-11.353369,0.4327967,1.0,150.01492,0.7792809,-4.702577,0.04315368,1.0,0.20982254,-27.058043,-66.00917,2.4123065,695.46564,2.0106294,-10.869862,0.3360954,1.0,155.871,0.92237955,-4.708691,0.045599386,1.0,0.103863046,-28.954477,-61.23188,2.3491416,0.04001832685470581,2777.171797990799,65000
44.103413,-49.870457,1902.2769,658.48413,1.7979695,-11.018263,0.3657756,1.0,130.41072,0.6185657,-4.7211013,0.050563574,1.0,0.15857184,-24.538094,-66.91429,1.594115,667.10486,1.3664267,-11.025839,0.36729082,1.0,135.53294,0.8225359,-4.718574,0.04955263,1.0,0.10634841,-27.194168,-63.74987,2.1858842,0.040015804862976075,2977.2508311271667,70000
43.212414,-37.47617,1381.839,673.20874,1.9563115,-10.831705,0.328464,1.0,146.4361,0.82566905,-4.73147,0.054710824,1.0,0.04100576,-28.747673,-64.07601,1.7721677,650.81323,1.3473165,-11.1562195,0.39336687,1.0,185.03221,1.1257547,-4.724065,0.051748898,1.0,0.0319433,-27.052307,-63.3489,3.8493862,0.03985759234428406,3176.538804292679,75000
36.34915,-68.27618,1630.535,640.84064,1.2657751,-11.326938,0.42751047,1.0,150.84254,0.8522543,-4.714821,0.048051324,1.0,0.09472776,-28.478825,-65.69505,2.022337,641.47675,1.7547197,-10.89592,0.34130698,1.0,138.63202,0.74333656,-4.7334423,0.055499908,1.0,0.12252332,-26.84325,-69.41821,1.936693,0.03982183575630188,3375.6479947566986,80000
35.968636,-46.929935,1188.7251,683.0834,1.9429818,-10.9790125,0.35792547,1.0,131.068,0.82055515,-4.7070885,0.0449585,1.0,0.03267498,-27.97335,-67.29452,1.5012385,606.2416,1.513038,-11.241156,0.41035405,1.0,156.23444,0.91567093,-4.7069817,0.044915497,1.0,0.0061213486,-28.857891,-66.87019,2.7993908,0.040026320695877075,3575.77960896492,85000
18.912394,-27.426945,1049.1824,656.3235,1.6530857,-11.028034,0.36772984,1.0,162.17618,0.98453647,-4.6844707,0.03591117,1.0,0.12918258,-27.626308,-64.681366,1.8466522,696.8765,1.9276396,-11.085234,0.37916973,1.0,166.12804,0.86781865,-4.72777,0.05323087,1.0,0.07916587,-28.80825,-68.755516,1.3098475,0.03997384977340698,3775.648868560791,90000
32.025185,-38.201332,1226.6514,683.4482,1.7881455,-10.886427,0.33940816,1.0,143.84602,0.7464573,-4.6896544,0.037984762,1.0,0.048881385,-28.482304,-66.54911,1.7032392,672.275,2.0866032,-10.949802,0.35208353,1.0,147.11229,0.74137557,-4.6851187,0.036170427,1.0,0.04518356,-28.547558,-67.893456,1.7900984,0.040086122274398804,3976.0794916152954,95000
53.129353,-80.84489,1976.4465,682.32446,1.375026,-11.322999,0.42672274,1.0,134.09799,0.73680824,-4.6802983,0.03424232,1.0,0.10272087,-30.218243,-67.72565,2.0247626,659.2966,1.6469688,-10.981013,0.35832563,1.0,159.58566,0.9324511,-4.687127,0.036973648,1.0,0.10131956,-29.211243,-66.99403,2.089077,0.040165615940094,4176.907582044601,100000
43.910748,-64.44897,1548.0968,697.15845,2.1978602,-11.083071,0.37873718,1.0,166.99173,0.905867,-4.6922607,0.03902739,1.0,0.045820888,-31.781788,-71.39032,2.4232051,678.3862,2.1770153,-11.214582,0.40503937,1.0,153.29672,0.8856244,-4.7053757,0.044273205,1.0,0.052405898,-27.069185,-73.37729,1.601985,0.05727618355751037,4463.288510560989,105000
77.68308,-47.81978,2091.371,627.3129,1.3092865,-11.064033,0.3749295,1.0,151.16957,0.8793288,-4.6683984,0.029482437,1.0,0.09205143,-30.014517,-67.80713,2.403494,698.46814,2.541871,-11.047118,0.37154672,1.0,144.91724,0.81886244,-4.7030554,0.043345068,1.0,0.057028912,-29.18531,-71.79741,2.3499777,0.04004302387237549,4663.503640413284,110000
